imageA,imageB,similarity
data\bus3693.jpg,data\bus3715.jpg,0.86328125
data\car2926.jpg,data\car2951.jpg,0.890625
data\car3080.jpg,data\car3132.jpg,0.87109375
data\car3107.jpg,data\car3159.jpg,0.84765625
data\car3450.jpg,data\car3505.jpg,0.82421875
data\person1.jpg,data\person5.jpg,0.87109375
data\person5.jpg,data\person8.jpg,0.91796875
data\person519.jpg,data\person530.jpg,0.95703125
data\person530.jpg,data\person582.jpg,0.890625
data\person1027.jpg,data\person906.jpg,0.87890625
data\person906.jpg,data\person995.jpg,0.9296875
data\person1038.jpg,data\person1050.jpg,0.9765625
data\person105.jpg,data\person82.jpg,0.93359375
data\person117.jpg,data\person170.jpg,0.85546875
data\person170.jpg,data\person196.jpg,0.9375
data\person196.jpg,data\person221.jpg,0.9375
data\person221.jpg,data\person233.jpg,0.94140625
data\person233.jpg,data\person247.jpg,0.94921875
data\person247.jpg,data\person341.jpg,0.94140625
data\person341.jpg,data\person354.jpg,0.984375
data\person130.jpg,data\person143.jpg,0.9296875
data\person143.jpg,data\person286.jpg,0.85546875
data\person157.jpg,data\person183.jpg,0.9453125
data\person183.jpg,data\person208.jpg,0.953125
data\person25.jpg,data\person41.jpg,0.89453125
data\person41.jpg,data\person60.jpg,0.90234375
data\person60.jpg,data\person71.jpg,0.96484375
data\person274.jpg,data\person300.jpg,0.97265625
data\person300.jpg,data\person315.jpg,0.9609375
data\person315.jpg,data\person367.jpg,0.9453125
data\person367.jpg,data\person381.jpg,0.93359375
data\person381.jpg,data\person393.jpg,0.94921875
data\person393.jpg,data\person407.jpg,0.9453125
data\person407.jpg,data\person447.jpg,0.9375
data\person447.jpg,data\person459.jpg,0.98828125
data\person459.jpg,data\person471.jpg,0.98046875
data\person471.jpg,data\person483.jpg,0.96875
data\person483.jpg,data\person495.jpg,0.94140625
data\person495.jpg,data\person507.jpg,0.98046875
data\person33.jpg,data\person50.jpg,0.9296875
data\person3822.jpg,data\person3823.jpg,0.9921875
data\person3830.jpg,data\person3831.jpg,0.953125
data\person3835.jpg,data\person3836.jpg,0.94921875
data\person3841.jpg,data\person3842.jpg,0.89453125
data\person420.jpg,data\person434.jpg,0.97265625
data\person542.jpg,data\person552.jpg,0.96875
data\person563.jpg,data\person572.jpg,0.93359375
data\person572.jpg,data\person592.jpg,0.96875
data\person592.jpg,data\person603.jpg,0.96484375
data\person603.jpg,data\person612.jpg,0.96875
data\person612.jpg,data\person621.jpg,0.98828125
data\person621.jpg,data\person631.jpg,0.95703125
data\person631.jpg,data\person641.jpg,0.98046875
data\person652.jpg,data\person663.jpg,0.90625
data\person663.jpg,data\person675.jpg,0.9296875
data\person696.jpg,data\person719.jpg,0.9296875
data\person844.jpg,data\person857.jpg,0.9296875
data\person881.jpg,data\person893.jpg,0.98046875
data\person893.jpg,data\person972.jpg,0.9296875
data\bus3641.jpg,data\bus3693.jpg,0.87890625
data\car2926.jpg,data\car2951.jpg,0.890625
data\car3053.jpg,data\car3080.jpg,0.94140625
data\car3080.jpg,data\car3107.jpg,0.94140625
data\person1.jpg,data\person5.jpg,0.87109375
data\person1005.jpg,data\person1016.jpg,0.921875
data\person1016.jpg,data\person1027.jpg,0.90625
data\person1027.jpg,data\person1050.jpg,0.9375
data\person1050.jpg,data\person947.jpg,0.8828125
data\person947.jpg,data\person960.jpg,0.96875
data\person960.jpg,data\person972.jpg,0.9609375
data\person972.jpg,data\person983.jpg,0.96875
data\person1038.jpg,data\person906.jpg,0.87109375
data\person906.jpg,data\person995.jpg,0.9296875
data\person105.jpg,data\person33.jpg,0.88671875
data\person33.jpg,data\person82.jpg,0.8515625
data\person143.jpg,data\person157.jpg,0.96484375
data\person157.jpg,data\person170.jpg,0.921875
data\person170.jpg,data\person183.jpg,0.953125
data\person183.jpg,data\person208.jpg,0.953125
data\person208.jpg,data\person247.jpg,0.8984375
data\person196.jpg,data\person233.jpg,0.94921875
data\person233.jpg,data\person286.jpg,0.91796875
data\person286.jpg,data\person315.jpg,0.96875
data\person315.jpg,data\person341.jpg,0.94140625
data\person341.jpg,data\person354.jpg,0.984375
data\person354.jpg,data\person407.jpg,0.92578125
data\person274.jpg,data\person300.jpg,0.97265625
data\person300.jpg,data\person367.jpg,0.9296875
data\person367.jpg,data\person447.jpg,0.8984375
data\person447.jpg,data\person459.jpg,0.98828125
data\person459.jpg,data\person483.jpg,0.95703125
data\person381.jpg,data\person393.jpg,0.94921875
data\person3822.jpg,data\person3823.jpg,0.9921875
data\person3823.jpg,data\person3824.jpg,0.98046875
data\person3824.jpg,data\person3825.jpg,0.98828125
data\person3825.jpg,data\person3826.jpg,0.9453125
data\person3826.jpg,data\person3827.jpg,0.921875
data\person3828.jpg,data\person3833.jpg,0.84765625
data\person3829.jpg,data\person3830.jpg,0.9140625
data\person3830.jpg,data\person3831.jpg,0.953125
data\person420.jpg,data\person663.jpg,0.83203125
data\person663.jpg,data\person675.jpg,0.9296875
data\person675.jpg,data\person686.jpg,0.9453125
data\person434.jpg,data\person471.jpg,0.9765625
data\person471.jpg,data\person495.jpg,0.96484375
data\person495.jpg,data\person507.jpg,0.98046875
data\person507.jpg,data\person519.jpg,0.91796875
data\person519.jpg,data\person563.jpg,0.89453125
data\person542.jpg,data\person552.jpg,0.96875
data\person572.jpg,data\person582.jpg,0.94140625
data\person582.jpg,data\person592.jpg,0.94140625
data\person592.jpg,data\person631.jpg,0.93359375
data\person631.jpg,data\person641.jpg,0.98046875
data\person641.jpg,data\person652.jpg,0.97265625
data\person603.jpg,data\person612.jpg,0.96875
data\person612.jpg,data\person621.jpg,0.98828125
data\person696.jpg,data\person719.jpg,0.9296875
data\person844.jpg,data\person857.jpg,0.9296875
data\person71.jpg,data\person94.jpg,0.94921875
data\person742.jpg,data\person754.jpg,0.9296875
data\person790.jpg,data\person805.jpg,0.94140625
data\person819.jpg,data\person831.jpg,0.9140625
